Master ID,Category,Input Name,Consolidated Description,Why It Matters,Primary Sections,Representative Frameworks,Likely Public Sources,Example Search Angles,Priority,Merged From
1,Market Definition & Sizing,Canonical market definition used by credible sources,"The main category name used by analysts, regulators, and trade bodies for the market being studied.",Anchors the whole chapter on a defensible market boundary and prevents category drift.,S1-A (Q3),"S1-A9, S1-A10, S1-A11","Analyst reports, trade associations, government classifications, standards bodies","""[Industry] NAICS code"", ""definition of [Industry] Gartner""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
2,Market Definition & Sizing,Alternate market labels and search synonyms,"Common adjacent labels, legacy names, and adjacent category terms used to describe the same market or nearby spaces.",Improves source discovery and helps test whether different labels imply different boundaries.,S1-A (Q3-Q4),"S1-A11, S1-A12, S1-A15","Analyst reports, vendor sites, industry glossaries, conference agendas","""[Industry] market terminology"", ""[Industry] category synonyms""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
3,Market Definition & Sizing,Product-type inclusion rules used in public sources,Which product forms or solution types third-party sources explicitly include in market totals.,Prevents inflated TAM from mixing non-comparable offerings into the market.,S1-A (Q2-Q3),"S1-A8, S1-A9, S1-A10","Market reports, methodology notes, filing footnotes, association definitions","""types of [Product]"", ""[Industry] product segments""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
4,Market Definition & Sizing,Product-type exclusion rules and adjacent categories,"Which adjacent offerings public sources explicitly exclude from the category, and why.",Helps defend the edge of the market and quantify what is truly outside scope.,S1-A (Q3),"S1-A9, S1-A10, S1-A12","Market reports, category explainers, standards docs, industry surveys","""difference between [Industry A] and [Industry B]"", ""[Industry] exclusions""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
5,Market Definition & Sizing,Geographic scope conventions in market sources,"How credible sources define region-level scope such as global, North America, EU, or APAC.",Needed to normalize incomparable market estimates and avoid false triangulation.,S1-A (Q1-Q4),"S1-A1, S1-A2, S1-A8","Analyst reports, government datasets, industry databases","""[Industry] market size North America"", ""[Industry] market share by region""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
6,Market Definition & Sizing,Customer-segment boundary conventions,"How public sources split the market by enterprise size, industry, buyer type, or operating model.",Required for TAM decomposition and later segment-attractiveness work.,S1-A (Q2-Q3); S1-C (Q8-Q9),"S1-A2, S1-A10, S1-C3","Industry reports, benchmark studies, analyst taxonomies","""key customer segments for [Product]"", ""[Industry] buyer personas""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
7,Market Definition & Sizing,Use-case boundary conventions,"How credible sources separate the market by application, workflow, or job-to-be-done.",Supports inclusion rules and prevents use-case inflation in TAM and segment analysis.,S1-A (Q2-Q3); S4-B (Q22),"S1-A2, S1-A10, S4-B6","Market reports, solution comparisons, trade publications","""common use cases for [Product]"", ""why companies buy [Product]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
8,Market Definition & Sizing,Named TAM estimates from credible sources,Individual market-size figures from named third-party sources with year and scope attached.,Forms the raw source set for triangulating TAM.,S1-A (Q1-Q2),"S1-A1, S1-A7, S1-A13","Analyst firms, government data, equity research, industry reports","""[Industry] market size 2024"", ""[Industry] TAM report""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
9,Market Definition & Sizing,TAM estimate range across sources,"The low, midpoint, and high market-size estimates implied by the source set.",Makes uncertainty explicit and supports scenario-based sizing.,S1-A (Q1-Q4),"S1-A4, S1-A13, S1-A15",Synthesized from public reports and datasets,"""[Industry] market size estimates"", ""[Industry] TAM range""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
10,Market Definition & Sizing,Historical market size series,At least several years of historical market size or spend data for the category.,Needed to compare historical and projected growth and detect discontinuities.,S1-A (Q1); S2-B (Q14),"S1-A1, S2-B2, S2-B4","Government stats, analyst time series, trade body reports","""[Industry] market growth history"", ""[Industry] revenue trends last 5 years""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
11,Market Definition & Sizing,Projected market size series,Forward market-size estimates with forecast years and projection horizon.,"Required for projected CAGR, scenario building, and timing judgments.",S1-A (Q1); S2-B (Q14),"S1-A1, S1-A4, S2-B4","Analyst forecasts, market reports, investor research","""[Industry] market forecast 2030"", ""[Industry] market size projection""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
12,Market Definition & Sizing,Historical CAGR by geography or segment,Historical growth rates broken out by region or subsegment where available.,Supports more granular bottom-up and segment attractiveness analysis.,S1-A (Q1); S1-C (Q9); S2-B (Q14),"S1-A1, S1-C5, S2-B1","Analyst reports, government datasets, industry databases","""[Industry] growth by region"", ""[Industry] segment CAGR history""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
13,Market Definition & Sizing,Projected CAGR by geography or segment,Forecast growth rates broken out by region or subsegment where available.,Needed to score subsegments and identify where future demand will concentrate.,S1-A (Q1); S1-C (Q9); S2-B (Q14),"S1-A1, S1-C5, S2-B4","Market reports, segment studies, investor presentations","""[Industry] growth forecast by segment"", ""[Industry] CAGR by region""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
14,Market Definition & Sizing,Sizing methodology used by each public source,"Whether each source uses top-down, bottom-up, value-based, shipment-based, or spend-based methods.",Allows method comparison and prevents treating all numbers as equally rigorous.,S1-A (Q1-Q4),"S1-A1, S1-A7, S1-A13, S1-A16","Methodology sections in reports, filing notes, analyst appendices","""[Industry] market report methodology"", ""[Industry] TAM calculation method""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
15,Market Definition & Sizing,Bottom-up demand-unit and volume proxies,"Public counts for buyers, users, seats, facilities, transactions, or assets that can anchor bottom-up sizing.",Critical for building defensible bottom-up TAMs instead of relying only on top-down reports.,S1-A (Q2-Q4),"S1-A5, S1-A6, S1-A13","Government censuses, industry directories, public databases, filings","""[Industry] total shipments 2024"", ""[Industry] active users count""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
16,Market Definition & Sizing,"Unit price, spend, or value-per-unit proxies","Public benchmarks for spend per account, per seat, per transaction, or per workflow.",Converts volume proxies into dollar market size and ties sizing to commercial reality.,S1-A (Q2-Q4); S4-B (Q21-Q23),"S1-A5, S1-A6, S4-B1, S4-B9","Vendor pricing pages, benchmark reports, public contracts, analyst notes","""average revenue per user [Industry]"", ""ARPU benchmarks [Industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
17,Market Definition & Sizing,"Hard-data anchor points from filings, government, or standards bodies",Official data points that can serve as high-confidence anchors within the sizing model.,Improves confidence ladders and reduces dependence on opaque market reports.,S1-A (Q1-Q4),"S1-A3, S1-A8, S1-A16","SEC filings, government statistics, regulator databases, standards bodies","""[Industry] SEC filing market data"", ""[Industry] government statistics""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
18,Market Definition & Sizing,Source credibility metadata,"Recency, independence, transparency, sample quality, sponsor bias, and methodological caveats for each source.",Enables explicit source weighting and honest confidence judgments.,S1-A (Q1-Q4); S2-A (Q13),"S1-A1, S1-A3, S1-A8, S2-A8","Source inspection, report footnotes, publisher disclosures","""[Publisher] methodology disclosure"", ""[Report] sample size sponsor bias""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
